OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Sentiment,Text,Tokens,Filtered_Tokens,Lemmatized_Tokens,Cleaned_Text
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,Positive,Monitor Debit Card Instagram SAVE10,"['Monitor', 'Debit', 'Card', 'Instagram', 'SAVE10']","['Monitor', 'Debit', 'Card', 'Instagram', 'SAVE10']","['monitor', 'debit', 'card', 'instagram', 'save10']",monitor debit card instagram save10
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,Positive,Phone Online Referral SAVE10,"['Phone', 'Online', 'Referral', 'SAVE10']","['Phone', 'Online', 'Referral', 'SAVE10']","['phone', 'online', 'referral', 'save10']",phone online referral save10
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,Negative,Tablet Credit Card Email FREESHIP,"['Tablet', 'Credit', 'Card', 'Email', 'FREESHIP']","['Tablet', 'Credit', 'Card', 'Email', 'FREESHIP']","['tablet', 'credit', 'card', 'email', 'freeship']",tablet credit card email freeship
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,Negative,Chair Debit Card Facebook SAVE10,"['Chair', 'Debit', 'Card', 'Facebook', 'SAVE10']","['Chair', 'Debit', 'Card', 'Facebook', 'SAVE10']","['chair', 'debit', 'card', 'facebook', 'save10']",chair debit card facebook save10
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,Positive,Printer Online Email SAVE10,"['Printer', 'Online', 'Email', 'SAVE10']","['Printer', 'Online', 'Email', 'SAVE10']","['printer', 'online', 'email', 'save10']",printer online email save10
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,Positive,Phone Credit Card Instagram SAVE10,"['Phone', 'Credit', 'Card', 'Instagram', 'SAVE10']","['Phone', 'Credit', 'Card', 'Instagram', 'SAVE10']","['phone', 'credit', 'card', 'instagram', 'save10']",phone credit card instagram save10
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,Negative,Laptop Gift Card Facebook SAVE10,"['Laptop', 'Gift', 'Card', 'Facebook', 'SAVE10']","['Laptop', 'Gift', 'Card', 'Facebook', 'SAVE10']","['laptop', 'gift', 'card', 'facebook', 'save10']",laptop gift card facebook save10
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,Positive,Monitor Cash Facebook FREESHIP,"['Monitor', 'Cash', 'Facebook', 'FREESHIP']","['Monitor', 'Cash', 'Facebook', 'FREESHIP']","['monitor', 'cash', 'facebook', 'freeship']",monitor cash facebook freeship
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,unknown,Email,268.56,Negative,Phone Gift Card Email unknown,"['Phone', 'Gift', 'Card', 'Email', 'unknown']","['Phone', 'Gift', 'Card', 'Email', 'unknown']","['phone', 'gift', 'card', 'email', 'unknown']",phone gift card email unknown
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,Positive,Desk Credit Card Google SAVE10,"['Desk', 'Credit', 'Card', 'Google', 'SAVE10']","['Desk', 'Credit', 'Card', 'Google', 'SAVE10']","['desk', 'credit', 'card', 'google', 'save10']",desk credit card google save10
